	Unnamed: 0	SrcID	SrcName	TrgID	TrgName	Mode	PMID
0	0	26574	AATF	581	BAX	negative	22909821
3	3	26574	AATF	4609	MYC	positive	20549547
5	5	25	ABL1	581	BAX	positive	11753601
6	6	25	ABL1	596	BCL2	negative	11753601
7	7	25	ABL1	604	BCL6	negative	15509806
8	8	25	ABL1	894	CCND2	positive	15509806
9	9	25	ABL1	1026	CDKN1A	positive	11753601;9916993
10	10	25	ABL1	1435	CSF1	positive	23418320
12	12	25	ABL1	2309	FOXO3	positive	15509806
13	13	25	ABL1	3725	JUN	positive	15145216
14	14	25	ABL1	3725	JUN	negative	19357699
15	15	25	ABL1	5292	PIM1	positive	15145216
16	16	25	ABL1	7157	TP53	positive	11753601
18	18	166	AES	51176	LEF1	positive	20676368
19	19	166	AES	390	RND3	positive	23546594
21	21	196	AHR	57491	AHRR	positive	18848529
24	24	196	AHR	768	CA9	negative	19154183
26	26	196	AHR	901	CCNG2	positive	22596188
27	27	196	AHR	1543	CYP1A1	positive	12213390;9865727
28	28	196	AHR	1543	CYP1A1	negative	17012224
31	31	196	AHR	1545	CYP1B1	positive	16115918;19287966
37	37	196	AHR	3569	IL6	positive	20511231
42	42	196	AHR	5111	PCNA	positive	12417031
43	43	196	AHR	5983	RFC3	positive	12417031
44	44	196	AHR	54658	UGT1A1	positive	18172616
46	46	9049	AIP	196	AHR	positive	11469723
47	47	9049	AIP	9687	GREB1	negative	21984905
48	48	9049	AIP	4791	NFKB2	negative	21984905
49	49	9049	AIP	51773	RSF1	negative	21984905
50	50	9049	AIP	7031	TFF1	negative	21984905
52	52	27063	ANKRD1	4878	NPPA	negative	18273862
53	53	322	APBB1	8833	GMPS	negative	21453247
54	54	324	APC	207	AKT1	negative	15888491
55	55	324	APC	269	AMHR2	negative	12724325
58	58	324	APC	1786	DNMT1	negative	12538344
61	61	324	APC	4609	MYC	negative	16510874
62	62	324	APC	4843	NOS2	positive	11935128
63	63	324	APC	4953	ODC1	negative	12112318
64	64	324	APC	5743	PTGS2	negative	10772828;12566320
66	66	324	APC	6446	SGK1	negative	18487207
67	67	328	APEX1	6347	CCL2	positive	17045925
68	68	328	APEX1	930	CD19	positive	10666449
69	69	328	APEX1	1585	CYP11B2	negative	22652909
70	70	328	APEX1	4790	NFKB1	positive	17045925
71	71	328	APEX1	5741	PTH	negative	14633989
72	72	328	APEX1	5970	RELA	positive	17045925
73	73	328	APEX1	6528	SLC5A5	positive	14630715
74	74	367	AR	58	ACTA1	positive	15623502
75	75	367	AR	8644	AKR1C3	negative	22971343
76	76	367	AR	207	AKT1	positive	11278645
77	77	367	AR	207	AKT1	negative	20589722
79	79	367	AR	383	ARG1	positive	20711410
80	80	367	AR	384	ARG2	positive	20711410
83	83	367	AR	694	BTG1	negative	16281084
84	84	367	AR	7832	BTG2	negative	16281084
85	85	367	AR	23552	CDK20	positive	21747169
86	86	367	AR	990	CDC6	positive	24583551
88	88	367	AR	999	CDH1	negative	18794357
90	90	367	AR	1000	CDH2	positive	17297473;18535113
91	91	367	AR	23552	CDK20	positive	21747169
93	93	367	AR	1026	CDKN1A	positive	10076995
94	94	367	AR	1026	CDKN1A	negative	16281084
95	95	367	AR	1198	CLK3	negative	16281084
96	96	367	AR	1392	CRH	negative	16446741
99	99	367	AR	1499	CTNNB1	positive	18535113
100	100	367	AR	9420	CYP7B1	negative	16630558
101	101	367	AR	1956	EGFR	positive	11556855;21613411
103	103	367	AR	2033	EP300	positive	22334658
104	104	367	AR	2064	ERBB2	positive	21613411
106	106	367	AR	2065	ERBB3	positive	21741601
107	107	367	AR	2115	ETV1	positive	19789348
116	116	367	AR	3162	HMOX1	positive	11965035
118	118	367	AR	3480	IGF1R	positive	15033751;17202144
120	120	367	AR	3725	JUN	positive	20148354
121	121	367	AR	3814	KISS1	positive	18331266
122	122	367	AR	84634	KISS1R	positive	18331266
126	126	367	AR	354	KLK3	positive	10547578;11006269;11504717;11571582;12958311;16425097;16434977;16724108;17566103;20069563;21780100;22179832;23667504;8626436
127	127	367	AR	354	KLK3	negative	16342680;9316650
132	132	367	AR	4582	MUC1	negative	21308711
134	134	367	AR	9	NAT1	positive	17210686
136	136	367	AR	4790	NFKB1	negative	18386814
137	137	367	AR	4824	NKX3-1	positive	16697957;17303007
140	140	367	AR	4893	NRAS	negative	16281084
141	141	367	AR	5091	PC	positive	18497079
149	149	367	AR	5728	PTEN	positive	23418309
151	151	367	AR	5743	PTGS2	negative	18386814
153	153	367	AR	5970	RELA	negative	18386814
154	154	367	AR	5978	REST	negative	24163104
155	155	367	AR	989	SEPT7	negative	16281084
156	156	367	AR	5268	SERPINB5	negative	16304843
162	162	367	AR	7039	TGFA	positive	11556855
