primary	synonyms	description
11 beta-HSD2		
12MelaCE5B3CD		
12S rRNA		
14 amino acid ORF		
14-3-3 protein	cytosolic|phospholipase|A2	
16-5-5		
16S rRNA		
17BHSDI		
18aa ORF		
1D12A		
1F6		
20 amino acid ORF		
20MER1		
20MER2		
214K23.2		
3 beta HSD psi-1		
3.8-1.2		
3.8-1.3		
3.8-1.4		
3.8-1.5		
3DL2		
44M2.1		
4R-MAP2		
5'URS	hLCR	tyrosinase 5' upstream regulatory sequence
5-HT3C2		
5-HT7		
5HT1A	HTR1A	
5HT1a		
5HTT	SLC6A4	
61E3.4		
66	U60	
6M1-16		
7 ER	oestrogen|receptor:|delta|4	
92M18.3		
A-270G1.2		
A-3		
A-328A3.4		
A-328A3.5		
A-388D4.1		
A-575C2.4		
A-589H1.1		
A-735G6.3	KIAA1970	
A-761H5.4		
A-923A4.2	ACSM1	
A-GAMMA3'E	A-gamma-e	A-gamma-globin 3' regulatory region
A-myb		
A1A		
A1BG	A1B|ABG|GAB|HYST2477	alpha-1-B glycoprotein
A1BG-AS1	A1BG-AS|A1BGAS|NCRNA00181	A1BG antisense RNA 1
A1CF	ACF|ACF64|ACF65|APOBEC1CF|ASP|ACF|ASP|ACF64|ACF65|APOBEC1CF|ACF|ASP	APOBEC1 complementation factor
A2BP1		
A2M	A2MD|CPAMD5|FWP007|S863-7|FWP007|S863-7|CPAMD5|CPAMD5	alpha-2-macroglobulin
A2M-AS1		
A2ML1	CPAMD9|p170|FLJ25179|p170|CPAMD9|CPAMD9	alpha-2-macroglobulin like 1
A2ML1-AS1		
A2ML1-AS2		
A2MP1	A2MP	alpha-2-macroglobulin pseudogene 1
A30		
A3G		
A3GALT2	A3GALT2P|IGB3S|IGBS3S|IGBS3S|IGB3S|A3GALT2P|A3GALT2P|IGBS3S	alpha 1|3-galactosyltransferase 2
A4GALT	A14GALT|A4GALT1|Gb3S|P(k)|P1|P1PK|PK|A14GALT|Gb3S|P(k)|P1|A14GALT|A4GALT1	alpha 1|4-galactosyltransferase (P blood group)
A4GNT	alpha4GnT|alpha4GnT	alpha-1|4-N-acetylglucosaminyltransferase
AA06	AA02|AA04|AA05	uncharacterized LOC100506677
AA1		
AA2		
AAA1	AAA	aortic aneurysm| familial abdominal 1
AAA2		
AAA3		
AAA4		
AAAS	AAA|AAASb|ADRACALA|ADRACALIN|ALADIN|GL003|ADRACALA	aladin WD repeat nucleoporin
AABT		
AACS	ACSF1|SUR-5|FLJ12389|SUR-5|ACSF1|ACSF1	acetoacetyl-CoA synthetase
AACSP1	AACSL	acetoacetyl-CoA synthetase pseudogene 1
AAD10		
AAD14		
AADAC	CES5A1|DAC|DAC|CES5A1|DAC	arylacetamide deacetylase
AADACL2	MGC72001	
AADACL2-AS1		
AADACL3	OTTHUMG00000001887	
AADACL4	OTTHUMG00000001889	
AADACP1		
AADAT	KAT2|KATII|KYAT2|KATII|KAT2|KYAT2|KAT2	aminoadipate aminotransferase
AAED1	C9orf21|C9orf21|C9orf21	AhpC/TSA antioxidant enzyme domain containing 1
AAG1	EIF4G2	
AAG11		
AAGAB	KPPP1|PPKP1|PPKP1A|p34|FLJ11506|p34	alpha and gamma adaptin binding protein
AAK1	KIAA1048|DKFZp686K16132|KIAA1048	
AAMDC	C11orf67|CK067|PTD015|PTD015|FLJ21035|CK067|C11orf67|C11orf67	adipogenesis associated Mth938 domain containing
AAMP		
