	symbol	associated_ids
0	RNA5SP268	100873521
1	LOC105379101	105379101
2	GP110	968|11047
3	LIR	10871
4	LINC00454	100874178
5	TIPARP	25976
6	WS2D	6591
7	OR2J3	442186
8	RAB3D	9545
9	RIZ1	7799
10	SLC25A5P1	266623
11	LOC401864	401864
12	RPS17_4_700	442216
13	CIT1	53844
14	ZL42	106633800
15	MIR519E	574463
16	PSPN	5623
17	LOC100507283	100507283
18	RNA5SP248	100873504
19	CTF8	54921
20	HL-19	201625
21	TPT1P	100131268
22	MIRN331	442903
23	PHLPPL	23035
24	FAM39F	653635
25	PCAF-b	2648
26	LOC105376818	105376818
27	ZFAND5B	54469
28	C5orf21	83989
29	PPY	5539
30	RPS17_2_414	100271071
31	KIF21B	23046
32	RNF20	56254
33	PCAT-1	100750225
34	VITO1	245806
35	TMEM142C	93129
36	MIRLET7B	406884
37	MKP6	11072
38	RN5S230	100873488
39	PAPOLA	10914
40	SPSMA	59341
41	RN7SKP280	106479220
42	LOC101060852	101060852
43	ARMS1	3075
44	mir-181d	574457
45	hCASK	8573
46	TCGFR	3559
47	CLEC-1	51267
48	HCP12	360168
49	PTGER4P2	5736
50	LOC111413036	111413036
51	ZFPM2-AS1	102723356
52	IRAK-2	3656
53	SCA27	2259
54	C12orf50	160419
55	SPG11	80208
56	ARFL2	402
57	PCOS1	5120
58	MRT32	100852400
59	LINC01709	105378872
60	NCRNA00023	55384
61	NET-2	23554
62	PIGQ	9091
63	hsa-mir-6734	102466723
64	EDA-A1R	10913
65	SOXB	6658
66	TRPML1	57192
67	TRAP2	5708|343477
68	Hcml1	9027
69	C18orf15	147276
70	FST	10468
71	ERBP	30836
72	D2L2AD	6576
73	CALM2P4	643193
74	smap-7	51427
75	CROT	54677
76	CODA	4327|100188845
77	LOC107987369	107987369
78	CLDN4	1364
79	DYLX2	9856
80	LOC105375070	105375070
81	ZNF20-Lp	64288
82	MRPL8	124995
83	PM5	23420|283820
84	PIH1D1	55011
85	AKAP121	8165
86	LOC105370449	105370449
87	LINC01876	101929378
88	NTT73	55117
89	HD8	55869
90	RPL7A_26_1357	652978
91	LOC101927932	101927932
92	OR7F2P	8587
93	TCRBV12S5	28575
94	MIR3689B	100500906
95	TMEM194B	100131211
96	hsa-mir-6889	102466758
97	GKLF	9314
98	hMsd1	117178
99	LOC105373666	105373666
100	DYM	54808
101	S100Z	170591
102	CPHL1P	389160
103	SSBP1	6742
104	BGP1	634
105	OR2T11	127077
106	GPR54	84634
107	LOC105375012	105375012
108	NRBF2P1	648532
109	DCS1	28960
110	OR13A1	79290
111	C17orf96	100170841
112	pHZ-39	7699
113	POLR2K	5440
114	LOC105379034	105379034
115	LOC112543430	112543430
116	HDHD1CP	327659
117	LOC392439	392439
118	ARL17A-IT1	644297
119	ARCN1	372
120	HEL-S-14	1264
121	APOLLON	57448
122	MSAG	119504
123	hsa-mir-6811	102465486
124	IL6RL1	157916
125	ZNF670	93474
126	TAF2G	6880
127	HEL-S-282	760
128	ORCTL4	9389
129	IGHV146	28465
130	SRGAP2B	647135
131	TMEM220	388335
132	GAPDHP2	170516
133	MIR3158-1	100422900
134	GPR100	339403
135	LOC100129274	100129274
136	LINC00067	100073347
137	FBL4	26234|26235
138	KIAA1755	85449
139	LOC105372930	105372930
140	LOC105378017	105378017
141	IGHV3-16	28447
142	PHP	427|6658|29085
143	OST	1650|23263
144	SR+89	55692
145	PPP1R55	57082
146	CIDEA	1149
147	V2-12P	28798
148	CDHF15	120114
149	MEGF11	84465
150	LOC111982885	111982885
151	LOC102724804	102724804
152	CEP128	145508
153	RPL7AP43	644236
154	hsa-mir-1302-6	100302140
155	INIP	58493
156	HHC3	1175
157	XRG5A	389610
158	TCRAV6S1	6956
159	FAM72B	653820
160	SEPT7B	641977
161	TAXREB67P	469
162	NKX2.8	26257
163	GBG	629
164	ANKEF1	63926
165	OR5V1	81696
166	LINC00046	414778
167	ZIMP10	57178
168	JBTS13	79600
169	PRR20	122183
170	LOC100996385	100996385
171	LOC105373467	105373467
172	RPS27P19	100129905
173	KILLER/DR5	8795
174	RASSF3	83593|283349
175	KAP9.7	100505724
176	ZKSCAN23A	339559
177	CXC3	6376
178	GRP136	221391
179	R30953_1	56269
180	HSD-41	148418
181	LOC100131736	100131736
182	LOC105375131	105375131
183	POTE2delta	440915
184	8D6A	51293
185	RPL6_5_786	100270846
186	RNU6-1190P	106480087
187	KIAA0825	285600
188	LOC107986872	107986872
189	SPATA46	284680
190	C9orf146	100113404
191	LOC107984601	107984601
192	PRO0971	55435
193	TRK-TTT2-1	100189294
194	FMR2	2334|2481
195	LOC100289047	100289047
196	ARTD5	8658
197	LOC105377408	105377408
198	AQP6	363
199	ZNF625	90589
200	MCOLN2	255231
201	LOC791126	791126
202	RNU6-1225P	106480650
203	LOC107985864	107985864
204	FBP	2203|2348|2350|8056|8880|51552
205	JNK3	5602
206	MYO15	51168
207	EFL1	1942|79631
208	TROY	55504
209	ADCY2	108
210	BTBD6	90135
211	TLP1	7011
212	CDEP	10160
213	NPTIIc	142680
214	LINC01289	286184
215	bA261N11.4	57642
216	MYST1	84148
217	SNRPB1	3181|6628
218	TRAV36DV7	28646
219	MICALCL	84953
220	LOC100419779	100419779
221	RBP	5973|57794
222	USP9YP14	107133502
223	DVC1	83932
224	RN7SL530P	106481067
225	LINC01978	101928738
226	SLC1A5	6510
227	FMRP	2332
228	4E-LP	9470
229	RPL17_26_1572	100132645
230	LOC105378914	105378914
231	MPP10P	10199
232	FE65L	323
233	SNX18P21	100419025
234	WRP	9901
235	IGLVI38	28768
236	PGR25	283383
237	IL-17C	27189
238	MIRN1236	100302242
239	CINEMA	56269
240	LOC105375198	105375198
241	SPATA24	202051
242	LOC105375313	105375313
243	LOC110120958	110120958
244	RIFF	80196
245	RPL35A_16_1237	100271638
246	SAE1	10055
247	FRA12C	2450
248	SIRH7	23641
249	HYI	81888
250	RNU44	26806
251	CTRB	1504
252	RPSA_26_1300	642641
253	MIRN302C	442895
254	mir-3659	100500801
255	NUS1P3	11049
256	RRP15	51018
257	CTRCT21	4094
258	KOX22	7767
259	ST6GALNAC2P1	100422716
260	UBE2L2	100506424
261	COL11A2P1	394214
262	LOC107985828	107985828
263	ATP1A4	480
264	CAE2	2566
265	dJ1181N3.1	58476
266	bA613M10.3	401505
267	ITBA2	8270
268	SPRIGHTLY	100642175
269	ANGPT4	51378
270	REG-III	5068|130120
271	LOC107986391	107986391
272	POU5F1P3	642559
273	KIAA1530	57654
274	RNU1-128P	106480191
275	beta-DCR	109580095
276	CLTNM	8907
277	4P11	9946
278	ERVV-1	147664
279	BRNRS	4128
280	LINC02306	107984700
281	HHT1	2022
282	HYT7	100188825
283	LOC103689916	103689916
284	GRP78	3309
285	snRNP-E	6635
286	TMEM26-AS1	101928781
287	MYCL1	4610
288	SERBP1L	22927
289	RN7SL62P	106479246
290	MEKK2	10746
291	TRIM29	23650
292	IMPD1	3614
293	SPATA5L1	79029
294	PPKP1B	101154752
295	Erk3ps1	317686
296	CBT1	6392
297	ERP29	10961
298	LOC100419892	100419892
299	SPATA17	128153
300	C6orf2	10758
301	MAGOH2	100506898
302	ZNF646	9726
303	HOXC8	3224
304	CGI-07	51068
305	CSPG4LYP1	114758
306	MCP-4	6357
307	LOC441179	441179
308	ZNF917	100101467
309	HPF12	168374
310	KRTAP10-5	386680
311	HAMSV	3265
312	OLA1P3	101060020
313	TRAPPC2P5B	414752
314	KLHL32	114792
315	CCNA1	8900
316	JAM2	58494
317	YKR087C	115209
318	MAGEA12	4111
319	IPO11-LRRC70	101180901
320	LQT	3784
321	DHHC-21	340481
322	Tric	153562
323	TLT-1	340205
324	S6KB	6199
325	HZF-16	7678
326	BDPLT21	2313
327	UBE2E3	10477
328	CAT56	80742
329	LOC102724459	102724459
330	LEIF-M	360001
331	LOC105376273	105376273
332	OK/SW-cl.48	5250
333	LOC105374961	105374961
334	MTCO2P6	107075266
335	IGKV	3519|28299|28920
336	PFK-2/FBPase-2	5208
337	FAM41AY	340618
338	RBBP6	5930
339	ERVW-17	106144567
340	FAM96AP2	391174
341	V2-5P	28805
342	HSD-40	283303
343	SLC21A20	353189
344	PBX4	80714
345	C6orf40	346171
346	LOC112042780	112042780
347	CXCR-7	57007
348	ZNF438	220929
349	CS-2	1443|58529
350	LOC107987290	107987290
351	GRK1	6011
352	LOC112268400	112268400
353	GMRP1	84280
354	FLVCR1-AS1	642946
355	LOC105374528	105374528
356	LINC00672	100505576
357	RC6-1	5688
358	NCX1	6546
359	TMEM178A	130733
360	Cctd	10575
361	PKI-gamma	11142
362	HD-ZNF1	9534
363	MTCO1P9	107075139
364	HEFL	57091
365	H2A-GL101	8338
366	LOC105371466	105371466
367	EFL1P1	648809
368	CORTRD2	3290
369	URP	8233|25972|90226|257313
370	RNU6-726P	106480604
371	REDD2	115265
372	LOC107985446	107985446
373	SIRPA2P	23755
374	ADRA2L2	152
375	G8	50854
376	FCE	2235
377	BDNFAS	497258
378	LOC100132773	100132773
379	EDMD	2010
380	SDHCP4	100422598
381	LOC110121499	110121499
382	RNF138P2	100419777
383	DS1	3396
384	OPSIN-LCR	107604627
385	RPL30_6_1213	100271303
386	KRTAP3-2	83897
387	LOC646044	646044
388	LOC100533649	100533649
389	TNFRSF1B	7133
390	COOL2	9459
391	CFIM68	11052
392	NR4A3	8013
393	RAD17P2	9206
394	LOC108178984	108178984
395	NMORI	1728
396	PRO4408	157310
397	U19	26821|55840
398	WEX5	56849
399	CDK11-p46	984|728642
400	PCH7	114034
401	SAF2	27181
402	LOC105375484	105375484
403	ARL4AP2	152709
404	C6	729|5688
405	OR5BD1P	79483
406	TAP	2317|8615|10482|23541
