primary,synonyms,description,
11 beta+AC0-HSD2,,,
12MelaCE5B3CD,,,
12S rRNA,,,
14 amino acid ORF,,,
14+AC0-3+AC0-3 protein,cytosolic+AHw-phospholipase+AHw-A2,,
16+AC0-5+AC0-5,,,
16S rRNA,,,
17BHSDI,,,
18aa ORF,,,
1D12A,,,
1F6,,,
20 amino acid ORF,,,
20MER1,,,
20MER2,,,
214K23.2,,,
3 beta HSD psi+AC0-1,,,
3.8+AC0-1.2,,,
3.8+AC0-1.3,,,
3.8+AC0-1.4,,,
3.8+AC0-1.5,,,
3DL2,,,
44M2.1,,,
4R+AC0-MAP2,,,
'5''URS',hLCR,'tyrosinase 5'' upstream regulatory sequence',
5+AC0-HT3C2,,,
5+AC0-HT7,,,
5HT1A,HTR1A,,
5HT1a,,,
5HTT,SLC6A4,,
61E3.4,,,
66,U60,,
6M1+AC0-16,,,
7 ER,oestrogen+AHw-receptor:+AHw-delta+AHw-4,,
92M18.3,,,
A+AC0-270G1.2,,,
A+AC0-3,,,
A+AC0-328A3.4,,,
A+AC0-328A3.5,,,
A+AC0-388D4.1,,,
A+AC0-575C2.4,,,
A+AC0-589H1.1,,,
A+AC0-735G6.3,KIAA1970,,
A+AC0-761H5.4,,,
A+AC0-923A4.2,ACSM1,,
'A+AC0-GAMMA3''E',A+AC0-gamma+AC0-e,'A+AC0-gamma+AC0-globin 3'' regulatory region',
A+AC0-myb,,,
A1A,,,
A1BG,A1B+AHw-ABG+AHw-GAB+AHw-HYST2477,alpha+AC0-1+AC0-B glycoprotein,
A1BG+AC0-AS1,A1BG+AC0-AS+AHw-A1BGAS+AHw-NCRNA00181,A1BG antisense RNA 1,
A1CF,ACF+AHw-ACF64+AHw-ACF65+AHw-APOBEC1CF+AHw-ASP+AHw-ACF+AHw-ASP+AHw-ACF64+AHw-ACF65+AHw-APOBEC1CF+AHw-ACF+AHw-ASP,APOBEC1 complementation factor,
A2BP1,,,
A2M,A2MD+AHw-CPAMD5+AHw-FWP007+AHw-S863+AC0-7+AHw-FWP007+AHw-S863+AC0-7+AHw-CPAMD5+AHw-CPAMD5,alpha+AC0-2+AC0-macroglobulin,
A2M+AC0-AS1,,,
A2ML1,CPAMD9+AHw-p170+AHw-FLJ25179+AHw-p170+AHw-CPAMD9+AHw-CPAMD9,alpha+AC0-2+AC0-macroglobulin like 1,
A2ML1+AC0-AS1,,,
A2ML1+AC0-AS2,,,
A2MP1,A2MP,alpha+AC0-2+AC0-macroglobulin pseudogene 1,
A30,,,
A3G,,,
A3GALT2,A3GALT2P+AHw-IGB3S+AHw-IGBS3S+AHw-IGBS3S+AHw-IGB3S+AHw-A3GALT2P+AHw-A3GALT2P+AHw-IGBS3S,alpha 1+AHw-3+AC0-galactosyltransferase 2,
A4GALT,A14GALT+AHw-A4GALT1+AHw-Gb3S+AHw-P(k)+AHw-P1+AHw-P1PK+AHw-PK+AHw-A14GALT+AHw-Gb3S+AHw-P(k)+AHw-P1+AHw-A14GALT+AHw-A4GALT1,alpha 1+AHw-4+AC0-galactosyltransferase (P blood group),
A4GNT,alpha4GnT+AHw-alpha4GnT,alpha+AC0-1+AHw-4+AC0-N+AC0-acetylglucosaminyltransferase,
AA06,AA02+AHw-AA04+AHw-AA05,uncharacterized LOC100506677,
AA1,,,
AA2,,,
AAA1,AAA,aortic aneurysm+AHw- familial abdominal 1,
AAA2,,,
AAA3,,,
AAA4,,,
AAAS,AAA+AHw-AAASb+AHw-ADRACALA+AHw-ADRACALIN+AHw-ALADIN+AHw-GL003+AHw-ADRACALA,aladin WD repeat nucleoporin,
AABT,,,
AACS,ACSF1+AHw-SUR+AC0-5+AHw-FLJ12389+AHw-SUR+AC0-5+AHw-ACSF1+AHw-ACSF1,acetoacetyl+AC0-CoA synthetase,
AACSP1,AACSL,acetoacetyl+AC0-CoA synthetase pseudogene 1,
AAD10,,,
AAD14,,,
AADAC,CES5A1+AHw-DAC+AHw-DAC+AHw-CES5A1+AHw-DAC,arylacetamide deacetylase,
AADACL2,MGC72001,,
AADACL2+AC0-AS1,,,
AADACL3,OTTHUMG00000001887,,
AADACL4,OTTHUMG00000001889,,
AADACP1,,,
AADAT,KAT2+AHw-KATII+AHw-KYAT2+AHw-KATII+AHw-KAT2+AHw-KYAT2+AHw-KAT2,aminoadipate aminotransferase,
AAED1,C9orf21+AHw-C9orf21+AHw-C9orf21,AhpC/TSA antioxidant enzyme domain containing 1,
AAG1,EIF4G2,,
AAG11,,,
AAGAB,KPPP1+AHw-PPKP1+AHw-PPKP1A+AHw-p34+AHw-FLJ11506+AHw-p34,alpha and gamma adaptin binding protein,
AAK1,KIAA1048+AHw-DKFZp686K16132+AHw-KIAA1048,,
